"Jogo","Titulo","Data e hora no Rio","Duracao prevista","Fase","Estadio","Cidade","Data UTC"
"33","🇩🇪 Alemanha x 🇨🇮 Costa do Marfim","20/06/2026, 17:00","2h","Grupo E","Toronto Stadium","Toronto","2026-06-20T20:00:00Z"
"34","🇪🇨 Equador x 🇨🇼 Curacao","20/06/2026, 21:00","2h","Grupo E","Kansas City Stadium","Kansas City","2026-06-21T00:00:00Z"
"35","🇳🇱 Países Baixos x 🇸🇪 Suécia","20/06/2026, 14:00","2h","Grupo F","Houston Stadium","Houston","2026-06-20T17:00:00Z"
"36","🇹🇳 Tunísia x 🇯🇵 Japão","21/06/2026, 01:00","2h","Grupo F","Monterrey Stadium","Monterrey","2026-06-21T04:00:00Z"
"37","🇺🇾 Uruguai x 🇨🇻 Cabo Verde","21/06/2026, 19:00","2h","Grupo H","Miami Stadium","Miami","2026-06-21T22:00:00Z"
"38","🇪🇸 Espanha x 🇸🇦 Arábia Saudita","21/06/2026, 13:00","2h","Grupo H","Atlanta Stadium","Atlanta","2026-06-21T16:00:00Z"
"39","🇧🇪 Bélgica x 🇮🇷 Irã","21/06/2026, 16:00","2h","Grupo G","Los Angeles Stadium","Los Angeles","2026-06-21T19:00:00Z"
"40","🇳🇿 Nova Zelândia x 🇪🇬 Egito","21/06/2026, 22:00","2h","Grupo G","BC Place Vancouver","Vancouver","2026-06-22T01:00:00Z"
"41","🇳🇴 Noruega x 🇸🇳 Senegal","22/06/2026, 21:00","2h","Grupo I","New York/New Jersey Stadium","New York","2026-06-23T00:00:00Z"
"42","🇫🇷 França x 🇮🇶 Iraque","22/06/2026, 18:00","2h","Grupo I","Philadelphia Stadium","Philadelphia","2026-06-22T21:00:00Z"
"43","🇦🇷 Argentina x 🇦🇹 Austria","22/06/2026, 14:00","2h","Grupo J","Dallas Stadium","Dallas","2026-06-22T17:00:00Z"
"44","🇯🇴 Jordânia x 🇩🇿 Argélia","23/06/2026, 00:00","2h","Grupo J","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-06-23T03:00:00Z"
"45","🏴 Inglaterra x 🇬🇭 Gana","23/06/2026, 17:00","2h","Grupo L","Boston Stadium","Boston","2026-06-23T20:00:00Z"
"46","🇵🇦 Panamá x 🇭🇷 Croácia","23/06/2026, 20:00","2h","Grupo L","Toronto Stadium","Toronto","2026-06-23T23:00:00Z"
"47","🇵🇹 Portugal x 🇺🇿 Uzbequistão","23/06/2026, 14:00","2h","Grupo K","Houston Stadium","Houston","2026-06-23T17:00:00Z"
"48","🇨🇴 Colômbia x 🇨🇩 Congo DR","23/06/2026, 23:00","2h","Grupo K","Guadalajara Stadium","Guadalajara","2026-06-24T02:00:00Z"
"49","🏴 Escócia x 🇧🇷 Brasil","24/06/2026, 19:00","2h","Grupo C","Miami Stadium","Miami","2026-06-24T22:00:00Z"
"50","🇲🇦 Marrocos x 🇭🇹 Haiti","24/06/2026, 19:00","2h","Grupo C","Atlanta Stadium","Atlanta","2026-06-24T22:00:00Z"
"51","🇨🇭 Suíça x 🇨🇦 Canadá","24/06/2026, 16:00","2h","Grupo B","BC Place Vancouver","Vancouver","2026-06-24T19:00:00Z"
"52","🇧🇦 Bósnia e Herzegovina x 🇶🇦 Catar","24/06/2026, 16:00","2h","Grupo B","Seattle Stadium","Seattle","2026-06-24T19:00:00Z"
"53","🇨🇿 Tchequia x 🇲🇽 México","24/06/2026, 22:00","2h","Grupo A","Mexico City Stadium","Mexico City","2026-06-25T01:00:00Z"
"54","🇿🇦 África do Sul x 🇰🇷 Coreia do Sul","24/06/2026, 22:00","2h","Grupo A","Monterrey Stadium","Monterrey","2026-06-25T01:00:00Z"
"55","🇨🇼 Curacao x 🇨🇮 Costa do Marfim","25/06/2026, 17:00","2h","Grupo E","Philadelphia Stadium","Philadelphia","2026-06-25T20:00:00Z"
"56","🇪🇨 Equador x 🇩🇪 Alemanha","25/06/2026, 17:00","2h","Grupo E","New York/New Jersey Stadium","New York","2026-06-25T20:00:00Z"
"57","🇯🇵 Japão x 🇸🇪 Suécia","25/06/2026, 20:00","2h","Grupo F","Dallas Stadium","Dallas","2026-06-25T23:00:00Z"
"58","🇹🇳 Tunísia x 🇳🇱 Países Baixos","25/06/2026, 20:00","2h","Grupo F","Kansas City Stadium","Kansas City","2026-06-25T23:00:00Z"
"59","🇹🇷 Turquia x 🇺🇸 Estados Unidos","25/06/2026, 23:00","2h","Grupo D","Los Angeles Stadium","Los Angeles","2026-06-26T02:00:00Z"
"60","🇵🇾 Paraguai x 🇦🇺 Austrália","25/06/2026, 23:00","2h","Grupo D","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-06-26T02:00:00Z"
"61","🇳🇴 Noruega x 🇫🇷 França","26/06/2026, 16:00","2h","Grupo I","Boston Stadium","Boston","2026-06-26T19:00:00Z"
"62","🇸🇳 Senegal x 🇮🇶 Iraque","26/06/2026, 16:00","2h","Grupo I","Toronto Stadium","Toronto","2026-06-26T19:00:00Z"
"63","🇪🇬 Egito x 🇮🇷 Irã","27/06/2026, 00:00","2h","Grupo G","Seattle Stadium","Seattle","2026-06-27T03:00:00Z"
"64","🇳🇿 Nova Zelândia x 🇧🇪 Bélgica","27/06/2026, 00:00","2h","Grupo G","BC Place Vancouver","Vancouver","2026-06-27T03:00:00Z"
"65","🇨🇻 Cabo Verde x 🇸🇦 Arábia Saudita","26/06/2026, 21:00","2h","Grupo H","Houston Stadium","Houston","2026-06-27T00:00:00Z"
"66","🇺🇾 Uruguai x 🇪🇸 Espanha","26/06/2026, 21:00","2h","Grupo H","Guadalajara Stadium","Guadalajara","2026-06-27T00:00:00Z"
"67","🇵🇦 Panamá x 🏴 Inglaterra","27/06/2026, 18:00","2h","Grupo L","New York/New Jersey Stadium","New York","2026-06-27T21:00:00Z"
"68","🇭🇷 Croácia x 🇬🇭 Gana","27/06/2026, 18:00","2h","Grupo L","Philadelphia Stadium","Philadelphia","2026-06-27T21:00:00Z"
"69","🇩🇿 Argélia x 🇦🇹 Austria","27/06/2026, 23:00","2h","Grupo J","Kansas City Stadium","Kansas City","2026-06-28T02:00:00Z"
"70","🇯🇴 Jordânia x 🇦🇷 Argentina","27/06/2026, 23:00","2h","Grupo J","Dallas Stadium","Dallas","2026-06-28T02:00:00Z"
"71","🇨🇴 Colômbia x 🇵🇹 Portugal","27/06/2026, 20:30","2h","Grupo K","Miami Stadium","Miami","2026-06-27T23:30:00Z"
"72","🇨🇩 Congo DR x 🇺🇿 Uzbequistão","27/06/2026, 20:30","2h","Grupo K","Atlanta Stadium","Atlanta","2026-06-27T23:30:00Z"
"73","2o do Grupo A x 2o do Grupo B","28/06/2026, 16:00","3h","16 avos de final","Los Angeles Stadium","Los Angeles","2026-06-28T19:00:00Z"
"74","1o do Grupo E x 3ABCDF","29/06/2026, 17:30","3h","16 avos de final","Boston Stadium","Boston","2026-06-29T20:30:00Z"
"75","1o do Grupo F x 2o do Grupo C","29/06/2026, 22:00","3h","16 avos de final","Monterrey Stadium","Monterrey","2026-06-30T01:00:00Z"
"76","1o do Grupo C x 2o do Grupo F","29/06/2026, 14:00","3h","16 avos de final","Houston Stadium","Houston","2026-06-29T17:00:00Z"
"77","1o do Grupo I x 3CDFGH","30/06/2026, 18:00","3h","16 avos de final","New York/New Jersey Stadium","New York","2026-06-30T21:00:00Z"
"78","2o do Grupo E x 2o do Grupo I","30/06/2026, 14:00","3h","16 avos de final","Dallas Stadium","Dallas","2026-06-30T17:00:00Z"
"79","1o do Grupo A x 3CEFHI","30/06/2026, 22:00","3h","16 avos de final","Mexico City Stadium","Mexico City","2026-07-01T01:00:00Z"
"80","1o do Grupo L x 3EHIJK","01/07/2026, 13:00","3h","16 avos de final","Atlanta Stadium","Atlanta","2026-07-01T16:00:00Z"
"81","1o do Grupo D x 3BEFIJ","01/07/2026, 21:00","3h","16 avos de final","San Francisco Bay Area Stadium","San Francisco Bay Area","2026-07-02T00:00:00Z"
"82","1o do Grupo G x 3AEHIJ","01/07/2026, 17:00","3h","16 avos de final","Seattle Stadium","Seattle","2026-07-01T20:00:00Z"
"83","2o do Grupo K x 2o do Grupo L","02/07/2026, 20:00","3h","16 avos de final","Toronto Stadium","Toronto","2026-07-02T23:00:00Z"
"84","1o do Grupo H x 2o do Grupo J","02/07/2026, 16:00","3h","16 avos de final","Los Angeles Stadium","Los Angeles","2026-07-02T19:00:00Z"
"85","1o do Grupo B x 3EFGIJ","03/07/2026, 00:00","3h","16 avos de final","BC Place Vancouver","Vancouver","2026-07-03T03:00:00Z"
"86","1o do Grupo J x 2o do Grupo H","03/07/2026, 19:00","3h","16 avos de final","Miami Stadium","Miami","2026-07-03T22:00:00Z"
"87","1o do Grupo K x 3DEIJL","03/07/2026, 22:30","3h","16 avos de final","Kansas City Stadium","Kansas City","2026-07-04T01:30:00Z"
"88","2o do Grupo D x 2o do Grupo G","03/07/2026, 15:00","3h","16 avos de final","Dallas Stadium","Dallas","2026-07-03T18:00:00Z"
"89","Vencedor do jogo 74 x Vencedor do jogo 77","04/07/2026, 18:00","3h","Oitavas de final","Philadelphia Stadium","Philadelphia","2026-07-04T21:00:00Z"
"90","Vencedor do jogo 73 x Vencedor do jogo 75","04/07/2026, 14:00","3h","Oitavas de final","Houston Stadium","Houston","2026-07-04T17:00:00Z"
"91","Vencedor do jogo 76 x Vencedor do jogo 78","05/07/2026, 17:00","3h","Oitavas de final","New York/New Jersey Stadium","New York","2026-07-05T20:00:00Z"
"92","Vencedor do jogo 79 x Vencedor do jogo 80","05/07/2026, 21:00","3h","Oitavas de final","Mexico City Stadium","Mexico City","2026-07-06T00:00:00Z"
"93","Vencedor do jogo 83 x Vencedor do jogo 84","06/07/2026, 16:00","3h","Oitavas de final","Dallas Stadium","Dallas","2026-07-06T19:00:00Z"
"94","Vencedor do jogo 81 x Vencedor do jogo 82","06/07/2026, 21:00","3h","Oitavas de final","Seattle Stadium","Seattle","2026-07-07T00:00:00Z"
"95","Vencedor do jogo 86 x Vencedor do jogo 88","07/07/2026, 13:00","3h","Oitavas de final","Atlanta Stadium","Atlanta","2026-07-07T16:00:00Z"
"96","Vencedor do jogo 85 x Vencedor do jogo 87","07/07/2026, 17:00","3h","Oitavas de final","BC Place Vancouver","Vancouver","2026-07-07T20:00:00Z"
"97","Vencedor do jogo 89 x Vencedor do jogo 90","09/07/2026, 17:00","3h","Quartas de final","Boston Stadium","Boston","2026-07-09T20:00:00Z"
"98","Vencedor do jogo 93 x Vencedor do jogo 94","10/07/2026, 16:00","3h","Quartas de final","Los Angeles Stadium","Los Angeles","2026-07-10T19:00:00Z"
"99","Vencedor do jogo 91 x Vencedor do jogo 92","11/07/2026, 18:00","3h","Quartas de final","Miami Stadium","Miami","2026-07-11T21:00:00Z"
"100","Vencedor do jogo 95 x Vencedor do jogo 96","11/07/2026, 22:00","3h","Quartas de final","Kansas City Stadium","Kansas City","2026-07-12T01:00:00Z"
"101","Vencedor do jogo 97 x Vencedor do jogo 98","14/07/2026, 16:00","3h","Semifinal","Dallas Stadium","Dallas","2026-07-14T19:00:00Z"
"102","Vencedor do jogo 99 x Vencedor do jogo 100","15/07/2026, 16:00","3h","Semifinal","Atlanta Stadium","Atlanta","2026-07-15T19:00:00Z"
"103","Perdedor do jogo 101 x Perdedor do jogo 102","18/07/2026, 18:00","3h","Disputa pelo 3o lugar","Miami Stadium","Miami","2026-07-18T21:00:00Z"
"104","Vencedor do jogo 101 x Vencedor do jogo 102","19/07/2026, 16:00","3h","Final","New York/New Jersey Stadium","New York","2026-07-19T19:00:00Z"
